,Unnamed: 0,airline_name,author,author_country,content,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,Month,Year,recommended
6108,8427,atlasjet-airlines,M Turner,United Kingdom,Flew from Luton to Ercan Northern Cyprus via Istanbul on the whole a poor experience. On the outbound flight our tickets said the flight was 12.20 but it was in fact displayed as 12.00. Check in staff were unfriendly put the wrong seat numbers on our boarding cards which we spotted otherwise our family would have been separated. Boarding was called 20 minutes before the inbound aircraft arrived and the aircraft left late resulting in standing in line for over an hour to board as there was minimal seating in the boarding area. The interior of the aircraft was dark and gloomy cabin lights were left off. The seating was cramped which meant the passenger in front could not recline his seat. The cabin service was shambolic the crew attempted to serve food and drinks from the same trolley and were constantly running our of things and were going up and down the aisles for more items constantly took over an hour to serve the meal. The meal was disgusting and was stone cold and my drink was half a glass of flat diet coke the crew had run out and didn't want to get another bottle. Staff were not friendly and continually forgot to serve people due to the distraction of running out of food. For most of the flight the aisles were blocked with crew with trolleys and food trays were not collected for a long time. Combined with turbulence it was not possible to visit the two economy class toilets for some time and it was not allowed to use them on the ground in Istanbul. On a positive note baggage collection and immigration in Ercan was fast and efficient. The return flight was slightly better boarding was more ordered cabin service more organised and cabin light switched on. Check in however was shambolic. When we landed at Istanbul most passengers had to change seats but had not been advised resulting in chaos and families being split up. Overall a very unpleasant journey I have flown on over 40 airlines and this was one of the worst.,Economy,2,2,2,1,1,3,8,2014,0
19267,28676,qantas-airways,J Vancurova,United Kingdom,Perth to Sydney. Staff were very attentive and tried to help with eating arrangements because we flew with our 16 months old daughter. Food was ok. seats comfy.,Business Class,10,5,5,3,5,2,2,2014,1
5547,7615,allegiant-air,K Hockemeyer,United States,Over the last 6 years I have flown Allegiant 39 times - all PIE to FWA. with few exceptions I would rate them as good to very good however in the last 2 months (Dec 2013 - Jan 2014) the service has been deplorable! The last 3 flights I've taken with them have followed a similar pattern: 2 4 6 hour delays then cancel and re-book the next day. My sense is that they've grown too fast and their infrastructure can't keep up with their flights but it ultimately comes down to poor management. It's too bad - this was an excellent convenient flight. I'm now forced to look at other options.,Economy,2,3,4,0,0,1,2,2014,0
5757,7876,allegiant-air,Carter Shelton,United States,When flying from Tri-Cities Tenn to Florida they are the only direct-flight game in town. We have used them for several years with minimal delays. They were particularly good at responding to the loss of several aircraft a few days ago. If money were no object I suppose we all would be using a chartered Lear but for most of us money is a factor and Allegiant provides reasonable service at an unbelievably low price.,Economy,9,4,4,0,0,5,10,2013,1
20422,30594,singapore-airlines,Timotheus Krahl,Malaysia,"Flying Silk Air to Singapore and connecting from there to Adelaide. All went well, good food, friendly staff, but was hoping for a refurbished plane - nevertheless, for Economy Singapore Airlines is very comfortable.",Economy,9,5,5,5,4,5,7,2015,1
1694,2431,air-canada,D Hovland,Canada,Flew to YQR on June 20 and had a great flight throughout. Declined the lunch and the flight attendant was very attentive throughout the entire flight. Too bad my return to YYZ on flt 1116 on June 23 was not the same. None of the crew bothered to introduce themselves. Declined the lunch again due to health issues and asked for a sandwich instead. Told I would have to pay the $7.00 odd for the sandwich I was brought from economy! It was almost impossible to get a top up of my wine as the crew were safely ensconced behind the tightly closed front galley curtain and could be heard giggling away like school girls (all male crew). I have usually received excellent service in J but made to pay for a chicken roll sandwich was over the top I hope this is not going to be the norm on AC otherwise Westjet here I come.,Business Class,4,4,3,3,3,3,6,2014,0
4360,5893,alaska-airlines,Mark Wang,Canada,"SEA to IAH return. First time flying on Alaska. Both legs were on time. Service was friendly. I appreciate the communication from the pilot or first officer with respect to turbulence and what's happening with the flight. Leg room was decent for economy class. Not a big fan of their food and beverage selections. Being a bit of a nervous flyer I generally tend to ask for 3 glasses of red wine when drink service is offered so I can slip slowly and make them last for a 4 hour flight and mellow out. One Flight Attendant took exception to me ordering 3 glasses (apparently fearing I was going to become intoxicated on the flight). In addition the wine service is poured from a bottle into a plastic cafeteria cup. Other airlines simply give you a little bottle which you pour yourself (which I much prefer). So this aspect was about the only thing that I give a thumbs down to. Another thing I like about some other airlines you have your own IFE system display. For me it's a matter of simply selecting ""My Flight"" as I like to see the progress of the flight. Not possible with Alaska.",Economy,7,4,3,2,2,4,1,2015,1
11270,16044,ethiopian-airlines,Mildred Navvubya,Uganda,For the price the service say is ok. By market standards comparing with the competitors like British Airways Emirates etc the service is way below standard. I took the 8.15pm flight from Heathrow. My destination was Entebbe but we had to go via Addis Ababa. We were meant to leave Addis Ababa at 10.15am but we left at 12.08 implying that were delayed for 2hrs. We got no communication from them about the delay until after 40mins. They just stood outside chatting! Surely if this is the way Ethiopia is leading Africa then it means Africa will never move on.,Economy,2,3,3,3,3,3,12,2013,0
5657,7757,american-airlines,J Chestnut,United States,"LAX-DFW-ATL AA2410 1 Sep 14. S80 ancient aircraft. Very uncomfortable seats. Almost one-hour delay in DFW because of ""broken-seat"" paperwork. Delay in landing at ATL because we lost our gate. Slow baggage handling. Staying away from AA for a year or so.",Economy,2,1,4,2,2,4,9,2014,0
8185,11392,cathay-pacific-airways,E T L Yang,Singapore,First time on long haul CX. Usually SQ or QR (Qatar). Was delayed all 4 legs - SIN to HKG HKG to SFO SFO to HKG (14 hours) HKG to SIN. That was disappointing as no mention to reason for delays until we finally go aboard! Ground staff service could be better. Inflight service was reasonably good but I miss the gourmet coffees on SQ! Food quality good and ICE up to date. J class seat a little narrow but had a real flat bed feel. Overall I will fly with them again westbound out of SIN if prices are competitive.,Business Class,7,3,4,4,4,4,9,2014,1
15125,22602,klm-royal-dutch-airlines,M Peters,Netherlands,After a beautiful week in St. Petersburg and Moscow it was time to fly back with the KLM from Moscow (SVO) to Amsterdam (AMS). The Moscow airport (SVO) is in fact a very dull airport. Some shops and restaurants in the middle and that’s about it. Our flight (PH-BXP 737-900) arrived on time and we started boarding approx half an hour before scheduled departure. We already checked in the day before and were offered an economy comfort seat for a small extra price. I took seat 5c since I prefer to always sit on the aisle. We took off about 15 minutes after scheduled departure and soon after we reached cruising altitude a hot meal was offered in economy. I was pleasantly surprised by this service since on the way in to St. Petersburg only a hot snack was offered. Finally a cup of tea or coffee was served. Arrival was on time and soon after I found myself waiting for the train to take me home.,Premium Economy,7,4,4,4,1,3,8,2014,1
25008,38241,united-airlines,J Jerks,United States,My husband and daughter had nothing but troubles with their recent flights. Part of their flight home (a 50 min flight from Chicago to Green Bay) was cancelled with no alternatives. They ended up having to rent a car to get home in time for the next day of work and school. United did not offer any compensation for the cancelled flight nor the car rental. Their customer service lacked immensely and the communication on the flight cancellation was obsolete. We will never fly with United again!,Economy,1,1,1,1,1,1,9,2014,0
20872,31449,singapore-airlines,D Fell,United Kingdom,I've just come back from a UK - Perth return trip. I first used them two years ago when I went UK - Auckland return and at that time I could not fault them in anyway this time my experience was different. The food was awful I'm not a person that's fussy about food but every meal was awful. The staff as always were great but you have to ask for everything now that's not standard such as a beer! Don't get me wrong they will get you one but you have to ask before they would ask you. The pillows were dirty god knows with what but you wouldn't put your head on one. I cant put my finger on it but the planes all four were tired. Maybe just a case that they are cutting back the same as everyone else but to me there's no excuse for such poor meals. 3 of us travelled and all of us thought the same.,Economy,7,3,5,1,5,3,3,2014,0
2812,3737,air-india-express,Siddharth Ghaisas,United Arab Emirates,Booked Dubai-Pune-Dubai in Jan 2014 however had to change the Dubai-Pune leg of the journey. My return journey (Pune-Dubai) was a nightmare. On arriving at the airport in the early hours of the morning I realized that my flight had been delayed for reasons unknown/unannounced to me. Then delayed 40 minutes in the security check line because other domestic flights need to be released earlier. After much delay I arrive at the final gate only to see no information displayed about my flight. Its delayed further. No one at any counter to enquire for any information. Felt relieved when the announcement to board was being made but there was more to come we were made to sit inside the aircraft as the pilots did not have clearance from ATC. It turned out to be for an hour or more until we finally were given clearance to fly. So a trip which I chose on purpose to save time and money did everything else but those two things.,Economy,1,1,2,2,1,3,3,2014,0
8244,11451,cathay-pacific-airways,Smiths Michael,Singapore,CX659 20 July 2014. Flying from Taipei to Singapore transit in HK. When boarding the flight from Taipei the plane was so hot. Only box of snacks served. The flight from HKG to SIN the seat was uncomfortable as it can't be reclined back only the inner part is reclineable which is uncomfortable. Box of snacks is served around 1 hour later around 2.30am when people are starting to sleep instead of before arriving as a breakfast. The plane was cold to start with but then was very hot and with no air circulation.,Economy,1,1,1,1,3,2,7,2014,0
6733,9387,biman-bangladesh,Mohammad Makshumul Hoque,United Arab Emirates,I traveled on April 30 2015. I took 2 flights on the same day - one international from Kuala Lumpur to Dhaka and the other is domestic from Dhaka to Chittagong. Amazingly both the flights were perfectly on time. In fact both of those did not even slipped 10 minutes. I heard that Biman Bangladesh improved a lot in terms of schedule service inflight audio visual entertainment but the experience was beyond expectations. A good number of recent Hollywood movies classic English Hindi and Bengali films were available on international flight with no extra charge. Complementary food was excellent. Ticket price was far lower than other available flights. Seats were neat. Leg room was very good. I will strongly recommend this Airline for both domestic and international - specially international.,Economy,9,5,4,5,5,5,5,2015,1
16876,25137,lufthansa,Spyridon Tzamtzis,Greece,LH 475 31 May 2014 from Munich Germany to Vancouver Canada. The airplane interior of this Airbus A330 is modern and the entertainment system significantly improved comparing to the one fitted in most of the long haul airplanes of the company. Probably they start updating the outdated entertainment system used for in the last 5 years which was famous for its poor performance poor quality of video instability of system and small number of choices when it comes to movies and music. The food is good in terms of quality and quantity. The stewardesses are friendly and make you feel comfortable. The seats in economy class are narrow offering limited inclination of the back. Very uncomfortable definitely below average comparing to other big players like Qatar Emirates Singapore Turkish. Finally as always Lufthansa arrived on time.,Economy,8,1,5,4,4,4,6,2014,1
2711,3571,air-france,J Kwak,South Korea,Flew Seoul-Vienna via Paris as well as Amsterdam because a huge delay before initial departure made me miss my Paris-Vienna flight. Ground staff in Seoul gave me a random seat - last row with no recline - despite my pre- assignment and my SkyPriority standing. The food was good and service in-flight satisfactory. KLM which flew me on the final leg delivered my luggage a day later though the efficiency in its tracking was high. The Charles de Gaulle Terminal 2F lounge was overcrowded. The return trip was satisfactory overall-meaning they need better training for their Seoul-based staff. Unpleasant and unprofessional.,Economy,5,2,3,4,3,1,2,2015,0
10705,15426,emirates,L Jarvis,Australia,"Emirates service has down downhill over the last few years. Recently flew Melbourne to Dubai and return. A380 both ways. Check in staff very disinterested. Plane was extremely hot. I rang for some water - no one came. The second time I went to the galley and asked for a drink. Staff just gave me a drink and walked off. Passengers recline their seats during meal times which makes life very difficult. Food was appalling on flight over and back - stale bread rolls even warmed up croissants tasted stale. Dubai check in staff even worse than Melbourne for return flight. The woman went to put wrong labels on my luggage. When I pointed this out she said ""Well there are two flights to Melbourne"" - I would have thought that was her job to check not mine. Very hard to get a drink on flight going home. Snacks were handed out in the night but our row missed out. A man sitting behind me asked for some nuts and was told ""There are no nuts for economy passengers"". Sought of sums up the whole attitude.",Economy,2,1,2,1,3,2,10,2014,0
20233,30211,shenzhen-airlines,Davis Li,Hong Kong,Domestic flight from Guiyang to Shenzen. Flight delayed for 3 hours and everyone sat onboard with nothing to do. Luckily they served one meal while we were waiting which was good. When we asked if there were any coke or snacks they said no which was quite disappointing. Food and seat were ok. FA kept us informed about the delay. Not much inflight entertainment except for tiny TV's on the ceiling.,Economy,7,4,3,4,3,4,4,2013,1
11548,16378,etihad-airways,J Scholfield,United Kingdom,LHR-AUH-KUL and back. LHR to AUH on Boeing 777 3x4x3 configuration AUH to KUL on Airbus A330 2x4x2 configuration. Very good value for money quite short connection times but not a problem even though AUH is very busy. Cabin crew immaculately presented and actually looked like they enjoyed their job. Good IFE with great selection of films and it was easy to use. Food and drink was ok although I didn't have the snacks. MY only complaint were the seats they were rock hard and it felt like sitting on a slab of concrete after 6 hours. However that's the only real negative and I would fly with them again.,Economy,7,2,5,4,4,5,7,2014,1
21104,31893,south-african-airways,M Stevenson,New Zealand,Auckland to Cape Town with the Perth to Cape Town section flown by SAA. I have travelled on countless airlines and this has to be close to the worse experience. No inflight entertainment from Perth to Jo'burg. The meals were terrible (worse than normal for airline food) the crew were rude and unhelpful. I was hungry half way through the flight and wanted a snack but was told there was no snacks and had to wait for the meal service several hours later. Next time I will book Qantas. Thank goodness for Air New Zealand their average service was fantastic in comparison. In summary do not fly SAA look for options if you have to fly with them don't expect too much.,Economy,1,2,1,1,2,2,10,2013,0
2339,3093,air-canada-rouge,W Nadeau,Canada,As a long time customer of Air Canada I will now be looking at other airlines for my frequent trips from Vancouver to California. Rouge represents a major drop in quality from Air Canada. There is no entertainment centre and the leg room is the same that I experienced on an Air Transat charter flight when we were packed in like sardines - my knees were touching the seat in front of me. Anyone over 5' 11' is simply not going to fit in the tiny seats. From my perspective this has severely damaged the Air Canada brand and presents a big opportunity for its competitors.,Economy,1,1,4,1,1,1,6,2014,0
8405,11614,cathay-pacific-airways,Ed Pua,Australia,Flew SYD-HKG-PEK in December on time no delay and back to SYD on February which was delayed by 30 minutes. Food was good. Seat comfortable and inflight entertainment was ok.,Economy,8,4,4,5,4,5,2,2014,1
24460,37667,united-airlines,Naomi Tidball,Canada,"UA did get me safely from Vancouver to Quito and back again, but that was about the best I can say about the experience. I found  rudeness characterizes how UA treats its customers. For example, it was clearly printed on my e-ticket that prepared meals would be provided, but what they do not say is that you first have to ask about the meal (flight staff never mentioned that food was even available), and then you are told to look at the menu if you want to purchase any food. The same goes for WiFi which they claimed was available, but did not work even on a flight within the mainland US. As for entertainment, I am sure that you could have a great selection, but they charge you for watching everything and anything, including TV programmes. Inflight staff were rude beyond belief. Aside from behaving as though they were doing you a favour by even noticing that you were on the flight, several of the staff would openly talk about and complain about passengers within hearing distance of the passengers themselves. I have flown on some of the European discount airlines such as EasyJet, but I would gladly take 4 EasyJet flights to get to a destination than ever fly with United.",Economy,3,3,1,1,1,2,6,2015,0
957,1488,aer-lingus,O Best,United Kingdom,BRS-DUB-BOS. We flew from Bristol to Boston connecting in Dublin. The regional flight was on time with quite poor legroom but we arrived early in Dublin. We changed terminal on one of the buses. The 11am flight from Dublin to Boston doesn't clear immigration in Dublin but it was no big deal. Non-alcoholic drinks were complimentary but things you had to pay for were obviously overpriced. The crew were pleasant and the entertainment was fine. Overall the flights were very good.,Economy,9,4,5,4,4,4,7,2012,1
24414,37612,turkish-airlines,E Karavelas,Greece,"TK1850 ATH-IST June 19. ATH airport check in procedures swift my luggage checked to my final destination boarding passes provided for my subsequent flights with another Star Alliance carrier. Aircraft A321 Business class seats 2-2 with more than adequate space (reclining seats dedicated cabin not the silly ""leave middle seat unoccupied"" solution). Cabin crew friendly linguistic skills more than adequate. Rather impressive food and wine service for a short flight smartly presented full hot meal left me with the curiosity of flying them long haul. A rather pleasant experience.",Business Class,9,4,4,5,3,5,8,2014,1
19809,29341,qatar-airways,Gaurav Goyal,United Kingdom,MAN-DOH-BOM return 24th Oct. Standards have dropped compared to previous experiences out of 4 legs only on 2 legs reserved seats with infant were honoured. Staff attitude in air as well as on ground not very friendly.,Economy,3,3,3,3,3,3,11,2013,0
4309,5825,air-transat,P Shppey,United Kingdom,Flight TS 535 July 26th Gatwick to Toronto and returned on flight TS222 August 13th Toronto to Gatwick. Staff very helpful and polite. Great comfortable flight. Wish Air Transat flew to other countries we would use them every time.,Business Class,10,5,5,4,4,5,9,2013,1
13629,19537,iberia,Alex Zivoder,Luxembourg,IB6402 Mexico-Heathrow January 4th. I was really impressed by my business flight from Mexico to Madrid. Comfortable cabin configuration on the A340 (1x2x1). Attention to detail on the supplied kit from L'Occitane cream sets to the quality of the fabric of the rug. Very good service: just in time no fuss polite efficient. Departed on time and arrived 30 minutes ahead of schedule. The only point to improve would probably be the list of the movies offered in the IFE: could do better but that's really minor compared to the overall experience.,Business Class,9,5,5,5,4,4,1,2015,1
26389,39909,virgin-atlantic-airways,Kier Dudley,United Kingdom,16 Aug VS012 BOS to LHR in premium economy - Excellent service as usual first flight on A330 which was impressive. My current airline of choice across the Atlantic.,Premium Economy,10,5,5,4,5,4,9,2014,1
16526,24640,malaysia-airlines,Ericzon Sola,Spain,Jan 21 MH 807. Jan 25 MH 804. Round-trip Business class MNL-KUL. Jan 21 and Jan 25. The service from the staff was excellent! The only downside is that the plane looked dirty but maybe it was just old. Other than that - quality service and good value for money. I highly recommended.,Business Class,10,4,5,5,4,5,1,2015,1
12051,16954,fiji-airways,A Mclean,Australia,Air Pacific now Fiji Air went from Melbourne - Nadi return over Christmas. The plane took off on time with the new cabin fit out on the Airbus the seats recline flat with lots of space the screen in fixed position with an easy use remote control. Food And Drinks excellent without having to ask. The check-in areas at both ends very good as well.,Business Class,10,5,5,5,5,5,1,2014,1
2995,3985,air-india,V Arya,India,AI 55 Kochi to BOM. Fully packed late night flight on time decent dinner and decently well looked after for a short flight. Polite crew. Will fly again.,Economy,10,5,5,5,0,5,4,2014,1
3889,5259,air-transat,Madeleine Tretter,Canada,I flew from Toronto to Dublin on July 31 on the A310 aircraft. The aircraft is cramped and only has the shared screens. Having said that the service on board was excellent. On my return flight on August 19 I was on board the A330. I also upgraded to Options Plus for the return flight. It is a much roomier plane with the individual screens. The service on the return trip was once again excellent. Air Transat has come along way and as a regular flyer their service can't be beat.,Premium Economy,10,4,5,5,5,4,8,2014,1
19130,28483,royal-air-maroc,J Falk,United States,Recently flew to Casablanca and back. I was pleasantly surprised with the quality of the flight. In business class the food was delicious fresh and served nicely. Video quality was good as was the selection of films although the headset was not as comfortable as on some other airlines. Arrived early and had to wait a little for a gate at JFK but I can't blame the airline for this. Would not hesitate to recommend the airline and plan to take it on my next flight to Morocco and perhaps for a connection elsewhere in North Africa to avoid connecting in Europe.,Business Class,9,4,5,4,4,5,5,2013,1
19657,29130,qatar-airways,Peter Lewis,United Kingdom,Flew LHR-SIN via Doha. Flown many times on Qatar always in J class. B777 is superb but older Airbus A330/340 product not as good but believe they are having interior upgrade to newer B787 style - we flew our first B787 on the initial LHR-DOH leg and it was fantastic. Could not pick a single fault and as a plane geek it truly is an amazing aircraft made the B777 feel almost outdated which is crazy as they are still fantastic aircraft and so spacious. Both were less than a month old! Qatar lounge in LHR is a real treat-up there with the BA Concorde Room in my opinion - worth getting there early just to enjoy the food wine and ambience. Looking forward to the new Doha airport as current transit can be a bit of a bore but would still chose to fly Qatar above any other airline despite the connection. Great fares and now Oneworld membership make it a no brainer for me and my family.,Business Class,10,5,5,5,5,5,4,2014,1
15130,22607,kenya-airways,Gail Garbutt,United Kingdom,London Heathrow to Nairobi on Christmas Day. The flight was cancelled and we flew the following morning. We were left in a fair amount of chaos only by following other passengers did we find our way out of the airport to the Heathrow Hilton our luggage was left overnight in the hold. The Hilton had more or less run out of food there was one representative from the airline at the hotel reception to inform us of what was happening the following day. Once onboard the food was awful stale breakfast when we should have had lunch (the food from the previous day) screens for entertainment didn't work. On our return flight the loos were blocked awful food. This airline really needs to raise its game.,Economy,5,3,3,2,2,3,1,2012,0
4321,5842,airasia-x,Graham R Seers,Malaysia,KL to Melbourne late November last year with a big group. We had lots of sport equipment which we pre booked online making it easy at the LCCT. Check-in was easy and the group got through fast without any problems. We also pre-booked our meal hot chicken lasagne. Flight was very relaxed onboard I was the only one of our group that got an inflight entertainment system movies were good. The fast and efficient service in all areas of our trip made us want to use Air Asia again the next time we travel.,Economy,9,5,4,5,0,5,2,2013,1
13709,19684,icelandair,J Walton,Ireland,Returned from Iceland to Ireland via London Heathrow last Thursday June 19th on Flight FI454 from KEF at 16.10 At 4.30 informed that the flight was now confirmed to take off at 17.00. No announcement was made no explanations given and no one from Icelandair appeared to answer the passengers questions and concerns. Flight eventually took off at 17.20 and was further delayed at London Heathrow due to a time slot to land. The pilot on welcoming us on board explained that the delay was due to a member of the cabin crew becoming ill and a replacement crew member having to be got. He also apologised for the delay. I was to originally have 2 and a half hours between landing in Heathrow and taking off again on a connecting flight to Ireland. I barely had an hour to get off go through passport control rush to baggage reclaim check in for connecting flight go through customs and get to the boarding gate. As it worked out I just got to the boarding gate in time and this was due to two factors. One was that there was no queue both at the check-in desk and at customs and secondly the cabin crew on flight FI454 allowed me to move from my allotted seat in the 2nd last row to a seat in row 6 near the exit door for the last 20 minutes of the flight and so allowed me to get off quickly. My sincerest thanks to the cabin crew. This was my 5th return trip to Iceland on holidays since 1991 and using Icelandair each time. This particular experience has left me wary of using Icelandair again and of considering using alternative airlines in travelling to Iceland on future trips.,Economy,5,3,5,3,0,4,6,2014,0
22929,35547,thomas-cook-airlines,Volante Suzanne,United Kingdom,We flew long haul from Manchester to Cancun on 17th Oct returning 31st Oct. After reading some of the reviews on here I was dreading the flight. I can only say we didn't need to worry from check in to landing each flight was great. We paid extra each to have just 2 seats together at the back of the plane as my partner likes to look out of the window and I have a bad right leg so would have more room to stretch. This wasn't needed as the leg room was great even for my partner who is over 6ft. The attendants were very nice even though they were very busy. The food was good for airline food. We knew b4 hand the cost of drinks so bought water and coke at the airport. Never watched the films so I had put films I wanted to watch on my kindle so going I watched these and read a little coming back the same. My partner slept most of the way both trips and he said the seats were very comfy.,Economy,10,5,4,5,0,4,11,2014,1
15120,22596,kenya-airways,T Bungard,United Kingdom,"London to Nairobi was an OK experience from there it went right down hill! Arrived at Nairobi to the news that my onward connection to Kigali had been cancelled; so an extended stay at the worst ""international"" airport I have ever been in. Combine that with less than helpful staff made for a very miserable 4.5 hours. Onward flight was in a modern comfortable airplane but no compensation for the ""Nairobi Experience"". Will definitely be seeking an alternative route next time.",Economy,2,3,1,3,3,3,1,2012,0
3209,4243,air-france,C Wajsber,Israel,Flew on 29th 0ctober once again from CDG to JNB. Beside that by now we all know what a great design this A380 is and how much more peaceful it is inside this airplane when flying. The reason for my comment this time is the very noticeable improvement by AF crew and AF catering to put in an effort to take better care of passengers. AF crew are usually always very polite they seem to enjoy their jobs again. Catering has improved again and food quality is very close to what I remembered it was so many years ago and one of the reasons I became a regular customer of AF. Also noticeable is the new design of cutlery even if made from plastic using them makes it much easier to enjoy the food. Well done AF now just improve the snacks served between meals on this route and it will be perfect.,Economy,9,3,5,5,5,5,11,2013,1
18005,26770,pia-pakistan-international-airlines,Sheryar Awan,Pakistan,LHR-ISB. Check in was good and quite simple. The lounge was ok with some good nibbles. Boarding was very good we had priority so we were the first in. 2-3-2 layout and were booked for 3D 3E and 3H. Takeoff was smooth. The service was fantastic cabin crew were polite and helpful. The Food was the best I have had on any airline I have travelled!! The seat was comfortable. In-flight entertainment was disappointing. PIA is good at the hard and soft product.,Business Class,9,5,5,5,2,4,10,2012,1
23457,36166,thai-airways,Ken Gould,United Kingdom,I have had gold card with Thai over 20 years now normally I fly business odd time first class this trip business was full so had to do economy on TG910 BKK-LHR. The new upgraded 747 has screens with fantastic entertainment on each seat now but this has caused a problem as they have fitted the entertainment controller into the left hand side of the seat eating into your seat space and I found it very uncomfortable and a tight fit. The food was ok the staff were friendly professional and attentive.,Economy,7,1,5,5,5,3,6,2013,1
5645,7740,ana-all-nippon-airways,Steve Siauw,Japan,ANA domestic flight Tokyo HND - Hiroshima HIJ return. Outbound with older B777-200 inbound with the new B787-8. Services are so so. Can't complain much since it was just a short 90 min-domestic flight. FAs hand out simple drinks apple juice coke hot/cold tea/coffee but nothing to eat. For those understand Japanese a 60-min-TV documentary-like program is on during the flight. Economy seats are a bit cramped. Usually B777s are configured 3-3-3 but ANA made them 3-4-3 instead. B787-8 has newer seats (still 3-4-3) bigger window and better interior lighting but still no change in in-flight services.,Economy,8,3,5,3,0,3,11,2013,1
26031,39493,virgin-atlantic-airways,Terence Stubbs,United Kingdom,Barbados to Gatwick 24 February 2015. Terrible Business Class lounge but this is not Virgin's fault as it caters for all airlines. Apart from free drinks it is all very basic and it can be hard to find anywhere to sit. On a positive note the crew were absolutely outstanding and the food was very good. Unfortunately as we were on an Airbus it was obvious that too many Upper Class seats have been squeezed in. The herringbone pattern does not work well as it provides little privacy the seats are very narrow and the fixed screen between the seats mean there is little conversation if you have someone with you. And the tiny bar is a joke. Choose a 747 Jumbo if you can.,Business Class,6,2,5,5,4,3,3,2015,1
7042,10013,british-airways,David Ellis,United Kingdom,HER-LGW. Our return flight confirmed our view that Club Europe is a waste of money on this new route. HER is infamous as a relic of the 70s and BA have done nothing to improve that. Check-in was interminable despite a Club Europe desk. There was a fast track option for security but this was roped off for our flight. No lounge was offered even though there are lounges available and used by other airlines. Not surprisingly there was no priority boarding. Our seats 2D and 2E are the only decent seats in the new Club Europe. Service on board was adequate. LGW was the usual nightmare taking 45 minutes to crawl through the boarder control fiasco. We certainly wouldn't want to repeat our BA experience to and from HER.,Business Class,2,3,3,2,1,2,6,2015,0
17774,26337,oman-air,A Descrieres,France,CDG-MCT-BKK and return several times per year on Oman Air. Flight experience varies from fair to very good depending on the attitude of the flight attendants. Quality of food has gone down slightly in the last few months (no more menu cards and crew does not know precisely what they serve ). Transit in MCT smooth and efficient in spite of the bus transfer. Will continue to fly Oman Air because of the generous seat pitch and the benefits of their Sindbad frequent flyers programme.,Economy,8,5,3,4,4,4,12,2014,1
276,357,aer-lingus,G Cunningham,United Kingdom,"First and last time I will fly Aer Lingus. Returning from New Zealand I flew Air NZ Premium Economy to SFO (normally I go All Air NZ AKL to SFO/LAX to LHR-Belfast). However this trip I availed of Aer Lingus' new service from SFO to DUB to cut out a flight. Seats were incredibly cramped and uncomfortable with very small seat pitch and minimal recline which the passenger beside me commented on also as they boarded. Food was utterly disgusting my alleged beef Stroganoff actually tasted worse than it looked which was no mean feat I didn't even attempt a 2nd mouthful. Wine was extra $5USD. For a long haul flight costing over $900USD one way I think this is a bit mean ""breakfast"" was a joke a cling film wrapped ham and cheese roll and about 100ml of water in a foil sealed plastic tub tossed out. The whole experience just felt like a cost-cutting exercise. IFE was average/poor small selection of mostly dated material. I would advise anyone going for a long haul fly out of London on one of the better carriers.",Economy,2,1,3,1,3,2,8,2014,0
23588,36339,tigerair,V Subramanian,India,My last flight with Tigerair was from Singapore to Cochin. It arrived some 20 mins before even though it was pouring outside. Nice smooth flight with some enjoyable bumps on the descent into Cochin. Pilot's announcements clearly heard.,Economy,6,3,4,0,3,3,9,2014,1
13227,18864,hainan-airlines,Frank P Zhao,United States,HU7735 Jan 20 2014. LHW to PVG on B737-800. Economy class aisle seat. The plane is old but very well maintained. Very good and attentive service. Sat in the aisle and was bumped by a flight attendant walking by and she immediately apologized for that causing this problem. When plane began descending service surveys were distributed to customers. Food was average but compared with the food of other major Chinese airlines it was not bad at all. Flight attendants were polite and smiling. There was no personal entertainment system and only screens underneath the overhead bin. I would definitely fly Hainan again.,Economy,9,5,5,4,3,5,2,2014,1
10319,14891,emirates,Rob Bowden,United Kingdom,"This was my first flight on the new Emirates A380. We flew Heathrow to Dubai in economy class (then on 777 to Delhi). I've flown on Emirates 777 in economy many times which is probably the best but on the A380 it's another level. My son and I sat in the back row of 4 seats in the front section, the flight wasn't full so we had all 4 seats to ourselves, a bonus. However the seats are wider with more leg room than on 777. The ICE entertainment system is excellent with over 100 movies for a 7 hour flight and the screen is big. The headphones are ok but I recommend taking your own to block out all noise. The service was excellent, maybe because it wasn't a full flight, and the food was good and they were quick with the drinks and made several drinks run throughout the flight. The next leg to Delhi was a 777 so I prebooked the 2 seats together at the back of the plane but when we went to the gate to board we were upgraded to business class, probably because the flight was full or overbooked but another welcome bonus. The business cabin is spacious with seat arrangement 2-3-2, we were in 2 of the middle 3. The seats are cocoon, lie-flat style so I slept this leg but my son stayed awake and enjoyed the Hennessey XO.",Economy,10,5,5,5,5,4,7,2015,1
7245,10223,brussels-airlines,P Naudts,Belgium,Brussels-Bilbao-Brussels on Avro 100 in b flex (economy plus service). Cabin crew on the outbound flight were great very warm and service was of a near business level (excellent food pre flight drink multiple drinks excellent for such a short flight). Inbound flight crew seemed more hurried and less interested but service was still superior to many other airlines. The airplane was getting a bit old but had a very comfortable 2-3 set up.,Economy,8,4,4,4,0,4,5,2012,1
